WW,BuildComment,StreamName,TestSessionFirstRunTPT,TestSessionTotalTPT,TaskFirstRunMachineHours,TaskReRunMachineHours,TSDuration,QBBuildDuration,TotalDuration
29,manual-main-128857,Media-Encode-KBL-PreETM,03:09:30,03:09:30,17:08:54,"",36:34:21,01:10:45,37:45:06
29,manual-main-128857,Media-Encode-BXT-PreETM,36:34:21,36:34:21,421:30:26,"",36:34:21,01:10:45,37:45:06
29,manual-main-128851,Media-Encode-BXT-PreETM,08:00:06,20:50:19,51:42:08,1:17:21,26:14:06,01:19:34,27:33:40
29,manual-main-128851,Media-Encode-BXT-PreETM,08:00:06,20:50:19,51:42:08,6:17:51,26:14:06,01:19:34,27:33:40
29,manual-main-128851,Media-Encode-KBL-PreETM,03:04:21,03:04:22,19:12:57,1:17:21,26:14:06,01:19:34,27:33:40
29,manual-main-128851,Media-Encode-KBL-PreETM,03:04:21,03:04:22,19:12:57,6:17:51,26:14:06,01:19:34,27:33:40
29,manual-main-128851,Media-Encode-CNL-PreETM,05:41:18,26:12:47,49:07:36,1:17:21,26:14:06,01:19:34,27:33:40
29,manual-main-128851,Media-Encode-CNL-PreETM,05:41:18,26:12:47,49:07:36,6:17:51,26:14:06,01:19:34,27:33:40
29,manual-main-128851,Media-Encode-Pre-ETM-BXT-Android,04:47:29,04:47:29,14:20:37,1:17:21,26:14:06,01:19:34,27:33:40
29,manual-main-128851,Media-Encode-Pre-ETM-BXT-Android,04:47:29,04:47:29,14:20:37,6:17:51,26:14:06,01:19:34,27:33:40
29,manual-main-128848,Media-Encode-CNL-PreETM,05:17:05,05:17:05,47:04:46,"",5:18:42,01:23:26,06:42:08
29,manual-main-128848,Media-Encode-KBL-PreETM,02:19:10,02:19:10,17:37:04,"",5:18:42,01:23:26,06:42:08
29,manual-main-128848,Media-Encode-BXT-PreETM,02:28:01,02:28:02,83:39:17,"",5:18:42,01:23:26,06:42:08
29,manual-main-128834,Media-Encode-BXT-PreETM,10:51:47,10:51:47,143:38:43,"",10:51:47,01:12:10,12:03:57
29,manual-main-128834,Media-Encode-KBL-PreETM,05:24:25,05:24:25,19:52:40,"",10:51:47,01:12:10,12:03:57
29,manual-main-128834,Media-Encode-CNL-PreETM,08:16:57,08:16:57,52:52:03,"",10:51:47,01:12:10,12:03:57
